Scene ID,Safety Score,Realism Score,Comfort Score,Test Score,Final Score,Is Out Dynamic,Planner Avg Score,Is Valid Submit
4_711_merge_712,30,5.36,9.33,29.96,74.65,0,35.19,1
4_71_straight_straight_72,0,0,0,0,0,1,0,1
4_73_straight_in_adjacent_left_74,0,0,0,0,0,1,0,1
4_740_merge_746,30,7.38,8.62,22.98,68.98,0,71.86,1
4_75_straight_straight_76,0,0,0,0,0,1,0,1
4_787_merge_798,30,6.77,7.52,22.82,67.1,0,71.58,1
4_804_merge_811,30,8.67,7.96,0.0,46.62,0,89.51,1
4_818_merge_828,0,7.88,7.37,0,15.26,0,73.05,1
4_832_merge_838,30,6.77,8.01,0.0,44.78,0,88.6,1
4_836_merge_838,30,7.9,8.54,20.55,67.0,0,85.21,1
4_850_merge_851,0,3.19,9.95,0,13.14,0,68.22,1
4_93_straight_straight_95,0,0,0,0,0,1,0,1
4_942_merge_949,30,7.0,7.82,24.23,69.05,0,69.59,1
4_993_merge_1006,30,7.46,8.36,0.0,45.82,0,88.99,1
5_105_straight_straight_109,0,7.78,6.08,0,13.86,0,88.41,1
5_107_straight_straight_113,0,0,0,0,0,1,0,1
5_115_straight_in_adjacent_left_117,0,0,0,0,0,1,0,1
5_118_straight_straight_122,0,0,0,0,0,1,0,1
5_127_straight_straight_131,0,0,0,0,0,1,0,1
5_129_straight_straight_131,0,0,0,0,0,1,0,1
5_130_straight_in_opposite_left_136,0,0,0,0,0,1,0,1
5_138_merge_151,30,8.91,7.24,28.49,74.64,0,50.28,1
5_13_straight_straight_16,0,0,0,0,0,1,0,1
5_147_merge_151,30,8.81,7.56,23.57,69.94,0,71.49,1
5_163_merge_164,0,7.99,6.86,0,14.85,0,71.32,1
5_194_merge_226,0,7.47,7.68,0,15.14,0,72.68,1
5_23_straight_straight_24,0,0,0,0,0,1,0,1
5_268_merge_272,30,8.57,6.47,0.0,45.04,0,92.07,1
5_27_straight_in_adjacent_left_29,0,0,0,0,0,1,0,1
5_344_merge_345,0,6.63,8.45,0,15.08,0,35.25,1
5_351_merge_355,0,6.62,8.98,0,15.6,0,50.35,1
5_379_merge_380,30,7.14,7.6,27.62,72.37,0,53.68,1
5_386_merge_388,30,7.41,7.64,31.68,76.73,0,35.35,1
5_39_straight_straight_41,0,0,0,0,0,1,0,1
5_40_straight_in_adjacent_left_43,0,0,0,0,0,1,0,1
5_413_merge_418,30,8.3,7.88,27.19,73.37,0,53.3,1
5_41_straight_straight_47,0,0,0,0,0,1,0,1
5_465_merge_476,30,8.51,6.98,23.34,68.83,0,71.96,1
5_50_straight_straight_52,0,7.87,5.62,0,13.48,0,89.91,1
5_519_merge_566,30,5.75,8.83,24.85,69.42,0,52.72,1
5_52_merge_55,0,7.9,7.41,0,15.31,0,72.25,1
5_53_straight_straight_57,0,8.63,5.94,0,14.58,0,89.6,1
5_562_merge_580,0,7.35,8.62,0,15.97,0,49.35,1
5_56_straight_straight_57,0,0,0,0,0,1,0,1
5_624_merge_644,30,7.53,8.88,28.16,74.57,0,51.59,1
5_635_merge_638,30,8.39,8.67,31.94,79.01,0,34.95,1
5_66_merge_87,30,7.36,8.48,23.11,68.95,0,71.04,1
5_69_straight_in_adjacent_left_74,0,0,0,0,0,1,0,1
5_72_left_straight_in_adjacent_75,0,0,0,0,0,1,0,1
5_73_straight_straight_75,0,0,0,0,0,1,0,1
5_751_merge_752,30,6.29,8.01,0.0,44.3,0,89.8,1
5_810_merge_818,0,8.75,6.83,0,15.59,0,90.5,1
5_819_merge_826,0,7.92,7.24,0,15.16,0,72.44,1
5_848_merge_856,30,7.08,7.95,4.0,49.03,0,70.94,1
5_874_merge_879,0,7.45,8.0,0,15.46,0,89.32,1
5_92_straight_in_opposite_left_93,0,0,0,0,0,1,0,1
6_102_straight_straight_107,0,0,0,0,0,1,0,1
6_1109_merge_1133,0,9.28,6.83,0,16.11,0,91.0,1
6_1363_merge_1429,30,8.51,7.81,31.83,78.14,0,35.2,1
6_1391_merge_1429,30,9.68,8.38,23.57,71.64,0,71.15,1
6_1535_merge_1540,30,5.81,9.11,28.74,73.66,0,48.17,1
6_1688_merge_1718,0,8.09,7.26,0,15.35,0,71.41,1
6_16_straight_in_adjacent_left_17,0,0,0,0,0,1,0,1
6_2063_merge_2093,30,3.42,9.55,24.21,67.18,0,68.2,1
6_2339_merge_2341,0,7.87,7.83,0,15.7,0,62.65,1
6_23_left_straight_in_opposite_28,0,9.08,5.97,0,15.05,0,86.3,1
6_24_straight_straight_30,0,0,0,0,0,1,0,1
6_25_straight_straight_26,0,0,0,0,0,1,0,1
6_2620_merge_2649,30,6.22,9.0,0.0,45.23,0,87.43,1
6_27_straight_straight_30,0,8.9,5.04,0,13.94,0,88.27,1
6_286_merge_325,0,3.93,9.63,0,13.56,0,51.14,1
6_351_merge_399,30,7.73,7.71,31.87,77.32,0,35.5,1
6_390_merge_399,30,3.57,9.66,24.34,67.57,0,68.56,1
6_429_merge_439,30,3.83,9.37,0.0,43.2,0,83.13,1
6_48_straight_straight_49,30,6.29,4.74,0.0,41.03,0,85.75,1
6_71_straight_straight_75,0,0,0,0,0,1,0,1
6_728_merge_743,30,8.15,8.45,24.77,71.37,0,52.44,1
6_792_merge_854,0,7.08,7.82,0,14.9,0,70.87,1
6_822_merge_854,30,7.22,8.72,27.82,73.77,0,53.08,1
7_112_straight_straight_116,0,0,0,0,0,1,0,1
7_127_left_straight_in_adjacent_129,0,7.04,6.2,0,13.24,0,70.78,1
7_129_straight_straight_133,0,0,0,0,0,1,0,1
7_12_straight_in_adjacent_left_17,0,0,0,0,0,1,0,1
7_178_merge_182,30,7.09,7.76,27.82,72.67,0,53.19,1
7_19_straight_straight_20,0,0,0,0,0,1,0,1
7_22_straight_straight_26,0,0,0,0,0,1,0,1
7_24_straight_straight_25,0,0,0,0,0,1,0,1
7_253_merge_271,0,6.76,9.06,0,15.81,0,34.88,1
7_287_merge_311,30,8.07,7.71,24.51,70.29,0,67.52,1
7_28_straight_straight_29,0,0,0,0,0,1,0,1
7_295_merge_311,30,7.87,7.01,23.55,68.42,0,71.6,1
7_39_straight_straight_40,30,8.11,5.19,21.1,64.4,0,81.97,1
7_41_straight_straight_44,0,0,0,0,0,1,0,1
7_63_straight_straight_68,0,8.34,5.44,0,13.79,0,88.0,1
7_72_straight_straight_75,30,5.19,5.91,0.0,41.1,0,88.52,1
7_86_straight_straight_88,0,6.87,5.56,0,12.43,0,89.67,1
7_98_straight_straight_99,0,0,0,0,0,1,0,1
7_9_straight_straight_10,0,9.09,5.35,0,14.45,0,88.02,1
8_101_straight_straight_102,0,7.83,5.77,0,13.59,0,82.83,1
8_102_straight_straight_109,30,7.36,5.54,22.97,65.87,0,70.69,1
8_109_straight_in_opposite_left_113,0,0,0,0,0,1,0,1
8_10_1_165,0,0,0,0,0,1,0,1
8_11_1_150,30,4.94,7.24,0.0,42.18,0,89.59,1
8_11_1_224,30,6.83,7.5,0.0,44.34,0,86.69,1
8_11_1_323,0,0,0,0,0,1,0,1
8_122_straight_straight_126,0,0,0,0,0,1,0,1
8_123_straight_in_adjacent_left_125,0,0,0,0,0,1,0,1
8_1_straight_straight_3,0,0,0,0,0,1,0,1
8_20_straight_in_adjacent_left_22,0,0,0,0,0,1,0,1
8_25_straight_straight_26,0,0,0,0,0,1,0,1
8_27_straight_straight_28,0,0,0,0,0,1,0,1
8_2_1_251,30,3.11,2.83,0.0,35.94,0,92.68,1
8_2_1_358,30,5.7,3.35,20.11,59.15,0,80.67,1
8_32_left_straight_in_opposite_36,0,0,0,0,0,1,0,1
